"","ID","YEARSEMESTRE","YEAR","SEMESTRE","DEP_NAC","COD_DEP_NAC","CIU_NAC","COD_CIU_NAC","LON_CIU_NAC","LAT_CIU_NAC","DEP_RES","COD_DEP_RES","CIU_RES","COD_CIU_RES","LON_CIU_RES","LAT_CIU_RES","CODS_NAC","CODN_NAC","NACIONALIDAD","EDAD_MOD","CAT_EDAD","SEXO","ESTRATO_ORIG","ESTRATO","DISCAPACIDAD","TIPO_DISC","MOD_INS","TIPO_INS","PAES","PEAMA","PAET","SNIES_SEDE","INS_SEDE_NOMBRE","PTOTAL","ADMITIDO","ADM_SEDE_NOMBRE","ADM_ANDINA_PEAMA","FACULTAD","FACULTAD_S","SNIES_PROGRA","PROGRAMA","PROGRAMA_S","AREAC_SNIES","CA_CINE","CD_CINE","AREA_CINE","TIPO_NIVEL","NIVEL","SNIES_UNIVERSIDAD","NOMBRE_UNIVERSIDAD","TITULOUNIVERSITARIO","MODALIDAD","ANNO_TERMINACION","RANGO_ANO_TERMINACION","TIPO_DOC","NOMBRE","COD_PADRE","PROGRAMA_2","ESTADO"
"1350","19314",20201,2020,1,"BOGOTÁ, D. C.",11,"BOGOTÁ, D.C.",11001,-74.1139187163,4.62457504964,"BOGOTÁ, D. C.",11,"BOGOTÁ, D.C.",11001,-74.1139187163,4.62457504964,"COL",170,"Colombiana",19,"18 a 20 años","Hombres","Estrato 2","Estrato 2 o menos","No",NA,"Regular","Regular",NA,NA,NA,1101,"Bogotá",469.5845,"No",NA,NA,"Sin información",NA,NA,NA,NA,"Sin información",NA,NA,"Sin información","Pregrado","Pregrado",NA,NA,NA,"Sin información",NA,"Sin información",NA,NA,NA,NA,NA
"1351","43915",20181,2018,1,"CALDAS",17,"LA DORADA",17380,-74.6744521523,5.44389999408,"BOYACÁ",15,"TUNJA",15001,-73.3543638186,5.53937063584,"COL",170,"Colombiana",17.21,"17 años o menos","Mujeres","Estrato 3","Estrato 3","No","No Aplica","Regular","Regular",NA,NA,NA,1101,"Bogotá",516.7721,"No",NA,NA,"Sin información",NA,NA,NA,NA,"Sin información",NA,NA,"Sin información","Pregrado","Pregrado",NA,NA,NA,"Sin información",NA,"Sin información",NA,NA,NA,NA,NA
"1352","2082",20222,2022,2,"ATLÁNTICO",8,"SOLEDAD",8758,-74.7923421864,10.9056320841,"BOGOTÁ, D. C.",11,"BOGOTÁ, D.C.",11001,-74.1139187163,4.62457504964,"COL",170,"Colombiana",23,"21 a 25 años","Mujeres","Estrato 2","Estrato 2 o menos","No",NA,"Especial","PAES","Victimas del conflicto armado interno en Colombia",NA,NA,1101,"Bogotá",404.0978,"No",NA,NA,"Sin información",NA,NA,NA,NA,"Sin información",NA,NA,"Sin información","Pregrado","Pregrado",NA,NA,NA,"Sin información",NA,"Sin información",NA,NA,NA,NA,NA
"1353","10123",20142,2014,2,"BOGOTÁ, D. C.",11,"BOGOTÁ, D.C.",11001,-74.1139187163,4.62457504964,"BOGOTÁ, D. C.",11,"BOGOTÁ, D.C.",11001,-74.1139187163,4.62457504964,"COL",170,"Colombiana",18.24,"18 a 20 años","Hombres","Estrato 2","Estrato 2 o menos","No","No aplica","Regular","Regular",NA,NA,NA,1101,"Bogotá",522.8639,"Sí","Bogotá",NA,"Medicina veterinaria y de zootecnia","Medicina Veterinaria y Zootecnia - Bogotá",2,"Medicina Veterinaria","Medicina Veterinaria - Bogotá","Agronomía, veterinaria y afines",8,841,"Agricultura, silvicultura, pesca y veterinaria","Pregrado","Pregrado",NA,NA,NA,"Sin información",NA,"Sin información",NA,NA,2,"Medicina Veterinaria","Activo"
"1354","34265",20092,2009,2,"SANTANDER",68,"BARBOSA",68077,-73.6175602711,5.93031783104,"BOGOTÁ, D. C.",11,"BOGOTÁ, D.C.",11001,-74.1139187163,4.62457504964,NA,NA,"Sin información",17.6944444444444,"17 años o menos","Mujeres","Estrato 1","Estrato 2 o menos","No","No Aplica","Regular","Regular",NA,NA,NA,NA,"Universidad",470.57,"No",NA,NA,"Sin información",NA,NA,NA,NA,"Sin información",NA,NA,"Sin información","Pregrado","Pregrado",NA,NA,NA,"Sin información",NA,"Sin información",NA,NA,NA,NA,NA
"1355","32752",20182,2018,2,"CUNDINAMARCA",25,"GUADUAS",25320,-74.603414551,5.07248999376,"BOGOTÁ, D. C.",11,"BOGOTÁ, D.C.",11001,-74.1139187163,4.62457504964,"COL",170,"Colombiana",18,"18 a 20 años","Mujeres","Estrato 2","Estrato 2 o menos","No",NA,"Regular","Regular",NA,NA,NA,1101,"Bogotá",453.3585,"No",NA,NA,"Sin información",NA,NA,NA,NA,"Sin información",NA,NA,"Sin información","Pregrado","Pregrado",NA,NA,NA,"Sin información",NA,"Sin información",NA,NA,NA,NA,NA
"1356","12662",20121,2012,1,"BOGOTÁ, D. C.",11,"BOGOTÁ, D.C.",11001,-74.1139187163,4.62457504964,"BOGOTÁ, D. C.",11,"BOGOTÁ, D.C.",11001,-74.1139187163,4.62457504964,"COL",170,"Colombiana",19.4861111111111,"18 a 20 años","Hombres","Estrato 1","Estrato 2 o menos","No","No Aplica","Regular","Regular",NA,NA,NA,1101,"Bogotá",621.5529,"Sí","Bogotá",NA,"Medicina","Medicina - Bogotá",12,"Terapia Ocupacional","Terapia Ocupacional - Bogotá","Ciencias de la salud",9,915,"Salud y bienestar","Pregrado","Pregrado",NA,NA,NA,"Sin información",NA,"Sin información",NA,NA,12,"Terapia Ocupacional","Activo"
"1357","6980",20101,2010,1,"VALLE DEL CAUCA",76,"GUACARÍ",76318,-76.3335063129,3.76199549423,"VALLE DEL CAUCA",76,"GUACARÍ",76318,-76.3335063129,3.76199549423,"COL",170,"Colombiana",43,"36 años o más","Hombres","Estrato 2","Estrato 2 o menos","No",NA,"Regular","Regular",NA,NA,NA,1104,"Palmira",3.35,"No",NA,NA,"Ingeniería y administración","Ingeniería y administración - Palmira",55145,"Enseñanza de las ciencias exactas y naturales","Enseñanza de las ciencias exactas y naturales - Palmira","Matemáticas y ciencias naturales",1,111,"Educación","Postgrado","Maestría","1826","UNIVERSIDAD ANTONIO NARIÑO","Licenciatura En Matematicas Y Computacion - Educacion A Distancia","Sin información",2004,"2 a 5 años de graduado",NA,NA,55145,"Enseñanza de las Ciencias Exactas y Naturales - Maestría","Activo"
"1358","7510",20101,2010,1,"ATLÁNTICO",8,"BARRANQUILLA",8001,-74.8187880943,10.9796493947,"CESAR",20,"VALLEDUPAR",20001,-73.2586483431,10.4615184337,NA,NA,"Sin información",16.94,"17 años o menos","Hombres","Estrato 3","Estrato 3","No","No Aplica","Regular","Regular",NA,NA,NA,NA,"Universidad",716.7,"No",NA,NA,"Sin información",NA,NA,NA,NA,"Sin información",NA,NA,"Sin información","Pregrado","Pregrado",NA,NA,NA,"Sin información",NA,"Sin información",NA,NA,NA,NA,NA
"1359","34280",20221,2022,1,"CUNDINAMARCA",25,"GUADUAS",25320,-74.603414551,5.07248999376,"CUNDINAMARCA",25,"GUADUAS",25320,-74.603414551,5.07248999376,"COL",170,"Colombiana",17,"17 años o menos","Mujeres","Estrato 2","Estrato 2 o menos","No",NA,"Regular","Regular",NA,NA,NA,1101,"Bogotá",536.6753,"No",NA,NA,"Sin información",NA,NA,NA,NA,"Sin información",NA,NA,"Sin información","Pregrado","Pregrado",NA,NA,NA,"Sin información",NA,"Sin información",NA,NA,NA,NA,NA
